v1,v2
decorativo,"Pin metálico redondo 3.7cm con diseño de gato kawaii en colores pastel"
coleccionable,"Pin redondo 5.6cm edición limitada 50 unidades de dragón chino dorado"
decorativo,"Pin metálico 3.2cm con ilustración de flores vintage estilo botánico"
promocional,"Pin redondo 5.6cm con logo corporativo de empresa tecnológica y slogan"
coleccionable,"Pin metálico 3.7cm numerado 25/100 de personaje anime exclusivo"
decorativo,"Pin redondo 3.2cm con diseño minimalista de luna y estrellas plateadas"
funcional,"Pin metálico 5.6cm con código QR para credencial de evento empresarial"
coleccionable,"Pin redondo 3.7cm edición convención 2024 con holograma de seguridad"
promocional,"Pin metálico 3.2cm con logo de restaurante para uniforme de meseros"
decorativo,"Pin redondo 3.7cm con ilustración de café humeante estilo line art"
funcional,"Pin metálico 5.6cm con foto y nombre para identificación de empleados"
coleccionable,"Pin redondo 3.2cm de banda de rock tour 2024 firmado digitalmente"
decorativo,"Pin metálico 3.7cm con diseño de arcoíris pride colores vibrantes"
promocional,"Pin redondo 5.6cm con logo de marca deportiva para maratón anual"
coleccionable,"Pin metálico 3.2cm vintage retro de videojuego de los 90s"
funcional,"Pin redondo 3.7cm con imagen reflectante para seguridad nocturna"
decorativo,"Pin metálico 5.6cm con cactus mexicano y sombrero estilo cartoon"
coleccionable,"Pin redondo 3.7cm variant holográfico de superhéroe Marvel limitado"
promocional,"Pin metálico 3.2cm con logo y fecha de conferencia tecnológica 2025"
decorativo,"Pin redondo 3.7cm con ilustración de gato negro y luna llena"
funcional,"Pin metálico 5.6cm con diseño de membresía VIP club de fans"
coleccionable,"Pin redondo 3.2cm de serie anime edición japonesa original sellada"
decorativo,"Pin metálico 3.7cm con paisaje de montañas y pinos diseño nature"
promocional,"Pin redondo 3.2cm con logo de cadena de comida rápida para empleados"
coleccionable,"Pin metálico 5.6cm exclusivo de tienda física edición aniversario"
funcional,"Pin redondo 3.7cm con código de descuento impreso para clientes VIP"
decorativo,"Pin metálico 3.2cm con unicornio kawaii y arcoíris brillante"
coleccionable,"Pin redondo 3.7cm de videojuego retro edición 30 aniversario numerado"
promocional,"Pin metálico 5.6cm de ONG ambiental para campaña de conservación"
decorativo,"Pin redondo 3.7cm aesthetic vaporwave con palmeras y sol retro"
funcional,"Pin metálico 3.2cm con nombre y puesto para congresos profesionales"
coleccionable,"Pin redondo 5.6cm Comic-Con exclusivo con certificado de autenticidad"
decorativo,"Pin metálico 3.7cm con sushi kawaii y palillos estilo japonés"
promocional,"Pin redondo 3.2cm universitario para repartir en open house estudiantes"
coleccionable,"Pin metálico 3.7cm error de impresión raro con doble imagen superpuesta"
funcional,"Pin redondo 5.6cm con foto familiar personalizada regalo aniversario"
decorativo,"Pin metálico 3.2cm con aguacate sonriente y frase motivacional"
coleccionable,"Pin redondo 3.7cm firmado por artista digital numerado 1/50"
promocional,"Pin metálico 5.6cm de startup para repartir en feria de emprendimiento"
decorativo,"Pin redondo 3.7cm con sistema solar y planetas diseño educativo"
funcional,"Pin metálico 3.2cm con logo de escuela para identificación de alumnos"
coleccionable,"Pin redondo 5.6cm de película de culto edición limitada Mondo collab"
decorativo,"Pin metálico 3.7cm boho con atrapasueños y plumas estilo tribal"
promocional,"Pin redondo 3.2cm de cervecería artesanal para festival de cerveza"
coleccionable,"Pin metálico 3.7cm trading oficial de parque temático personaje exclusivo"
funcional,"Pin redondo 5.6cm con foto de mascota personalizada recuerdo memorial"
decorativo,"Pin metálico 3.2cm con llama con lentes y bufanda hipster style"
coleccionable,"Pin redondo 3.7cm holy grail raro de serie animada descontinuada"
promocional,"Pin metálico 5.6cm de sindicato con emblema oficial para afiliados"
decorativo,"Pin redondo 3.7cm con cristales y gemas diseño místico espiritual"
funcional,"Pin metálico 3.2cm con número de teléfono de emergencia para niños"
coleccionable,"Pin redondo 3.7cm de convención anime Crunchyroll Expo 2024 sellado"
decorativo,"Pin metálico 5.6cm con astronauta flotando en espacio fondo galaxia"
promocional,"Pin redondo 3.7cm de marca de ropa urbana para embajadores influencers"
coleccionable,"Pin metálico 3.2cm de serie Netflix edición limitada para suscriptores"
funcional,"Pin redondo 3.7cm con logo de gimnasio para miembros acceso facilities"
decorativo,"Pin metálico 3.7cm con tacos y burritos mexicanos diseño festivo"
coleccionable,"Pin redondo 5.6cm variant glow in the dark de cómic DC numerado"
promocional,"Pin metálico 3.2cm farmacéutico para congreso médico profesionales salud"
decorativo,"Pin redondo 3.7cm minimalista geométrico círculos y líneas doradas"
funcional,"Pin metálico 5.6cm con código de empleado y departamento empresa"
coleccionable,"Pin redondo 3.7cm exclusivo de caja sorpresa edición coleccionista"
decorativo,"Pin metálico 3.2cm con libélula y alas transparentes efecto cristal"
promocional,"Pin redondo 3.7cm de museo para miembros anuales con beneficios acceso"
coleccionable,"Pin metálico 5.6cm error impresión doble capa considerado pieza rara"
funcional,"Pin redondo 3.2cm con foto de bebé recién nacido regalo hospital"
decorativo,"Pin metálico 3.7cm con bubble tea boba pearls diseño kawaii trendy"
coleccionable,"Pin redondo 3.7cm Summer Convention 2024 exclusivo certificado numerado"
promocional,"Pin metálico 5.6cm corporativo bienvenida para nuevos empleados onboarding"
decorativo,"Pin redondo 3.2cm aesthetic cassette retro años 80 cinta magnética"
funcional,"Pin metálico 3.7cm con nombre de voluntario para evento benéfico"
coleccionable,"Pin redondo 5.6cm chase metallic Marvel Collector Corps subscription box"
decorativo,"Pin metálico 3.7cm con hongos mágicos rojos puntos blancos bosque"
promocional,"Pin redondo 3.2cm campaña vacunación gobierno con mensaje de salud"
coleccionable,"Pin metálico 3.7cm convención E3 2019 videojuegos sellado empaque original"
funcional,"Pin redondo 5.6cm con foto de graduación personalizada recuerdo ceremonia"
decorativo,"Pin metálico 3.2cm con ballena azul saltando olas océano diseño marino"
coleccionable,"Pin redondo 3.7cm Box Lunch exclusivo suscripción mensual cerrado nuevo"
promocional,"Pin metálico 5.6cm equipo deportivo profesional para club de fans oficial"
decorativo,"Pin redondo 3.7cm con búho sabio libro y gafas estilo profesor"
funcional,"Pin metálico 3.2cm con logo de cafetería programa lealtad clientes"
coleccionable,"Pin redondo 5.6cm prototype sample fábrica nunca lanzado mercado"
decorativo,"Pin metálico 3.7cm con ramen japonés huevo naruto palillos tazón"
promocional,"Pin redondo 3.2cm aerolínea identificación tripulación vuelo personal"
coleccionable,"Pin metálico 3.7cm trading Disney Parks personaje atracción icónica limitado"
funcional,"Pin redondo 5.6cm con foto de equipo deportivo escolar temporada 2025"
decorativo,"Pin metálico 3.2cm con koala durmiendo rama eucalipto diseño tierno"
coleccionable,"Pin redondo 3.7cm firmado por actor de voz evento meet and greet"
promocional,"Pin metálico 5.6cm canal YouTube sorteo entre suscriptores milestone"
decorativo,"Pin redondo 3.7cm con taza de té vapor saliendo diseño cozy"
funcional,"Pin metálico 3.2cm con logo de biblioteca para identificación de staff"
coleccionable,"Pin redondo 5.6cm crossover exclusivo entre dos franquicias colaboración única"
decorativo,"Pin metálico 3.7cm con faro junto al mar gaviotas paisaje costero"
promocional,"Pin redondo 3.2cm asociación profesional congreso anual acreditación asistentes"
decorativo,"Pin metálico 5.6cm con panda comiendo bambú diseño naturaleza kawaii"
coleccionable,"Pin redondo 3.7cm de artista independiente Kickstarter backer reward"
decorativo,"Pin metálico 3.2cm con constelación zodiacal estrellas fondo negro"
promocional,"Pin redondo 3.7cm de festival de música boleto VIP acceso backstage"
coleccionable,"Pin metálico 5.6cm primera edición de serie colección año 2020"
decorativo,"Pin redondo 3.7cm con cámara vintage Polaroid diseño retro fotógrafo"
funcional,"Pin metálico 3.2cm con código de acceso área restringida seguridad"
coleccionable,"Pin redondo 3.7cm de convención furry artist alley edición limitada"
decorativo,"Pin metálico 5.6cm con mapa del tesoro pirata brújula rosa de vientos"
promocional,"Pin redondo 3.2cm de marca de cosméticos para embajadoras de belleza"
coleccionable,"Pin metálico 3.7cm variant metálico de superhéroe DC solo 25 unidades"
decorativo,"Pin redondo 3.7cm con bicicleta vintage flores canasta diseño spring"
funcional,"Pin metálico 5.6cm con logo de hospital para personal médico turno"
coleccionable,"Pin redondo 3.2cm de saga de libros edición box set especial"
decorativo,"Pin metálico 3.7cm con furgoneta hippie años 60 colores psicodélicos"
promocional,"Pin redondo 5.6cm de partido político campaña electoral con candidato"
coleccionable,"Pin metálico 3.7cm de Twitch streamer para suscriptores tier 3"
decorativo,"Pin redondo 3.2cm con perezoso colgando de rama diseño cute"
funcional,"Pin metálico 3.7cm con foto de staff para festival de verano 2025"
coleccionable,"Pin redondo 5.6cm de youtuber gaming edición aniversario canal"
decorativo,"Pin metálico 3.7cm con globo aerostático nubes cielo diseño viajes"
promocional,"Pin redondo 3.2cm de hotel boutique para huéspedes frecuentes programa"
coleccionable,"Pin metálico 3.7cm de podcast popular episodio 100 edición especial"
decorativo,"Pin redondo 5.6cm con zorro rojo bosque otoñal hojas caídas"
funcional,"Pin metálico 3.2cm con QR menú digital restaurante sin contacto"
coleccionable,"Pin redondo 3.7cm de cosplayer famoso venta exclusiva en su booth"
decorativo,"Pin metálico 3.7cm con máquina de escribir vintage diseño escritor"
promocional,"Pin redondo 5.6cm de compañía de seguros para agentes comerciales"
coleccionable,"Pin metálico 3.2cm de artista de Etsy edición San Valentín sold out"
decorativo,"Pin redondo 3.7cm con cactus en maceta colores pastel diseño boho"
funcional,"Pin metálico 5.6cm con logo de zoo para educadores programa escolar"
coleccionable,"Pin redondo 3.7cm de streamer de Twitch drop exclusivo en vivo"
decorativo,"Pin metálico 3.2cm con vinilo tocadiscos música retro años 70"
promocional,"Pin redondo 3.7cm de banco para clientes premium tarjeta platino"
coleccionable,"Pin metálico 5.6cm de juego de mesa Kickstarter edición deluxe backers"
decorativo,"Pin redondo 3.7cm con té matcha batidor bambú diseño zen japonés"
funcional,"Pin metálico 3.2cm con nombre de instructor para academia de inglés"
coleccionable,"Pin redondo 3.7cm de artista de Instagram edición print shop limitada"
decorativo,"Pin metálico 5.6cm con faro de alexandria diseño histórico arquitectónico"
promocional,"Pin redondo 3.2cm de aplicación móvil para early adopters usuarios beta"
coleccionable,"Pin metálico 3.7cm de TikToker viral para fans edición milestone"
decorativo,"Pin redondo 3.7cm con maceta suculentas cactus diseño plantas indoor"
funcional,"Pin metálico 5.6cm con foto de equipo trabajo empresa tech team building"
coleccionable,"Pin redondo 3.2cm de webcomic artista Patreon tier recompensa alta"
decorativo,"Pin metálico 3.7cm con furgoneta de helados verano colores alegres"
